bcg_coverage	ba_coverage	ba31_hits	ba31_coverage	bcerg31_coverage	model_fit	model_99pi	ba_detectable	grey_zone	kraken
1	0.002	365.4	0.001515	0.61949	106.45471829605	437.819419264423	FALSE	TRUE	684
10	0.02	3852.15	0.01621	6.104805	1049.06503176374	1380.42998365935	TRUE	TRUE	6823
100	0.2	33760.75	0.153765	61.09285	10498.3488622138	10829.7389506346	TRUE	FALSE	56863
1	0.003	443.95	0.00185	0.610035	104.829947336891	436.194648226179	TRUE	TRUE	718
10	0.03	4979.55	0.021105	6.14826	1056.53244816038	1387.89740367829	TRUE	TRUE	8052
1	0.004	658.3	0.00275	0.61447	105.592068881457	436.956769807689	TRUE	TRUE	1022
10	0.04	6226.85	0.02641	6.121425	1051.92105432759	1383.28600760557	TRUE	TRUE	9495
1	0.005	776.65	0.00325	0.613745	105.467483059628	436.832183979803	TRUE	TRUE	1089
10	0.05	7411.85	0.031555	6.132075	1053.75117708962	1385.11613125539	TRUE	TRUE	10894
1	0.006	956.6	0.004005	0.61969	106.489086798623	437.853787768682	TRUE	TRUE	1314
10	0.06	8788	0.03739	6.101395	1048.47904879486	1379.84400040731	TRUE	TRUE	12414
1	0.007	1055.55	0.004415	0.618145	106.223590116244	437.588291073292	TRUE	TRUE	1431
10	0.07	10019.9	0.04277	6.15287	1057.3246421447	1388.68959804839	TRUE	TRUE	13698
1	0.008	1204.65	0.005045	0.60252	103.538550852695	434.903251679991	TRUE	TRUE	1664
10	0.08	11402.2	0.048865	6.165025	1059.4133878886	1390.77834481086	TRUE	TRUE	15199
1	0.009	1363.7	0.00571	0.62542	107.473744397352	438.838445415947	TRUE	TRUE	1807
10	0.09	12588.75	0.053985	6.106195	1049.30389285662	1380.66884486771	TRUE	TRUE	16558
1	0.01	1398.25	0.005835	0.62005	106.550950103256	437.915651076351	TRUE	TRUE	1844
10	0.1	13964.25	0.060025	6.14774	1056.44309005369	1387.8080455281	TRUE	TRUE	18081
10	0.11	15063.05	0.065005	6.163255	1059.10922664082	1390.47418341464	TRUE	TRUE	19210
10	0.12	16463.6	0.07123	6.149775	1056.79278956737	1388.15774521203	TRUE	TRUE	20947
10	0.13	17913.9	0.07761	6.18605	1063.02637672163	1394.3913354105	TRUE	TRUE	22389
10	0.14	18929.65	0.08221	6.15126	1057.04797569898	1388.41293146791	TRUE	TRUE	23735
10	0.15	19807.5	0.0863	6.15616	1057.89000401203	1389.25496019122	TRUE	TRUE	24538
10	0.16	21245.6	0.092695	6.18979	1063.66906771975	1395.0340267235	TRUE	TRUE	26103
10	0.17	22630.9	0.099445	6.201925	1065.75437661339	1397.11933664013	TRUE	TRUE	27765
10	0.18	23224.15	0.101905	6.22639	1069.95850369069	1401.32346578593	TRUE	FALSE	28443
10	0.19	25100.75	0.11084	6.18195	1062.32182241887	1393.68678076277	TRUE	FALSE	30251
1	0.02	2868.65	0.01205	0.623255	107.101705356995	438.466406357198	TRUE	TRUE	3429
10	0.2	26346.2	0.116675	6.24952	1073.9332210133	1405.29818507167	TRUE	FALSE	31804
